iter	Passed	Remaining
1481	23352	8162
1482	23366	8145
1483	23381	8129
1484	23396	8113
1485	23410	8097
1486	23424	8081
1487	23438	8064
1488	23452	8048
1489	23467	8032
1490	23480	8015
1491	23495	7999
1492	23512	7984
1493	23527	7968
1494	23545	7953
1495	23562	7938
1496	23577	7922
1497	23593	7906
1498	23607	7890
1499	23622	7874
1500	23638	7858
1501	23654	7842
1502	23668	7826
1503	23685	7811
1504	23699	7794
1505	23712	7778
1506	23726	7761
1507	23739	7745
1508	23754	7729
1509	23769	7713
1510	23784	7697
1511	23799	7681
1512	23814	7665
1513	23830	7649
1514	23844	7633
1515	23857	7616
1516	23873	7601
1517	23888	7585
1518	23901	7568
1519	23915	7552
1520	23929	7535
1521	23942	7519
1522	23956	7502
1523	23971	7487
1524	23987	7471
1525	24002	7455
1526	24019	7440
1527	24036	7424
1528	24050	7408
1529	24067	7393
1530	24081	7376
1531	24095	7360
1532	24110	7344
1533	24124	7328
1534	24140	7312
1535	24155	7296
1536	24171	7281
1537	24187	7265
1538	24204	7250
1539	24221	7234
1540	24237	7219
1541	24252	7203
1542	24268	7187
1543	24281	7171
1544	24296	7155
1545	24310	7139
1546	24324	7122
1547	24339	7106
1548	24356	7091
1549	24372	7075
1550	24385	7059
1551	24400	7043
1552	24416	7027
1553	24432	7012
1554	24450	6997
1555	24465	6981
1556	24480	6965
1557	24495	6949
1558	24513	6934
1559	24529	6918
1560	24544	6902
1561	24559	6886
1562	24573	6870
1563	24586	6854
1564	24603	6838
1565	24620	6823
1566	24637	6807
1567	24651	6791
1568	24666	6775
1569	24682	6760
1570	24699	6744
1571	24714	6728
1572	24727	6712
1573	24741	6696
1574	24755	6680
1575	24770	6664
1576	24784	6648
1577	24799	6632
1578	24814	6616
1579	24830	6600
1580	24844	6584
1581	24862	6569
1582	24878	6553
1583	24895	6538
1584	24909	6522
1585	24924	6506
1586	24940	6490
1587	24957	6475
1588	24973	6459
1589	24989	6443
1590	25004	6427
1591	25019	6412
1592	25034	6396
1593	25050	6380
1594	25065	6364
1595	25084	6349
1596	25103	6334
1597	25122	6320
1598	25139	6304
1599	25157	6289
1600	25170	6273
1601	25186	6257
1602	25202	6241
1603	25218	6225
1604	25236	6210
1605	25251	6194
1606	25266	6178
1607	25280	6163
1608	25296	6147
1609	25310	6131
1610	25328	6115
1611	25342	6099
1612	25359	6084
1613	25375	6068
1614	25390	6052
1615	25407	6037
1616	25422	6021
1617	25438	6005
1618	25455	5990
1619	25471	5974
1620	25485	5958
1621	25499	5942
1622	25517	5927
1623	25533	5911
1624	25550	5896
1625	25566	5880
1626	25583	5865
1627	25601	5849
1628	25615	5833
1629	25629	5817
1630	25643	5801
1631	25659	5786
1632	25674	5769
1633	25689	5754
1634	25703	5738
1635	25718	5722
1636	25733	5706
1637	25751	5691
1638	25767	5675
1639	25783	5659
1640	25798	5643
1641	25815	5628
1642	25835	5613
1643	25849	5597
1644	25864	5581
1645	25881	5566
1646	25897	5550
1647	25915	5535
1648	25930	5519
1649	25946	5503
1650	25961	5487
1651	25975	5471
1652	25990	5455
1653	26006	5440
1654	26022	5424
1655	26039	5409
1656	26054	5393
1657	26069	5377
1658	26086	5361
1659	26102	5346
1660	26119	5330
1661	26133	5314
1662	26148	5298
1663	26164	5283
1664	26180	5267
